Date,Quote
2015-09-21,1133.18
2015-09-18,1138.97
2015-09-17,1131.38
2015-09-16,1119.38
2015-09-15,1105.07
2015-09-14,1108.91
2015-09-11,1107.63
2015-09-10,1110.4
2015-09-09,1107.66
2015-09-08,1121.4
2015-09-07,1118.8
2015-09-04,1121.61
2015-09-03,1125.36
2015-09-02,1133.86
2015-09-01,1140.11
2015-08-31,1134.39
2015-08-28,1133.41
2015-08-27,1124.82
2015-08-26,1125.04
2015-08-25,1140.49
2015-08-24,1155.02
2015-08-21,1160.18
2015-08-20,1152.08
2015-08-19,1133.85
2015-08-18,1117.64
2015-08-17,1117.35
2015-08-14,1114.94
2015-08-13,1115.04
2015-08-12,1124.38
2015-08-11,1108.86
2015-08-10,1104.41
2015-08-07,1094
2015-08-06,1089.49
2015-08-05,1084.92
2015-08-04,1087.67
2015-08-03,1086.64
2015-07-31,1095.38
2015-07-30,1088.43
2015-07-29,1096.7
2015-07-28,1095.32
2015-07-27,1093.86
2015-07-24,1099
2015-07-23,1090.51
2015-07-22,1094.08
2015-07-21,1101.05
2015-07-20,1096.48
2015-07-17,1134.29
2015-07-16,1145.28
2015-07-15,1149.39
2015-07-14,1155.84
2015-07-13,1157.82
2015-07-10,1163.67
2015-07-09,1159.12
2015-07-08,1157.99
2015-07-07,1155.19
2015-07-06,1170.09
2015-07-03,1168.33
2015-07-02,1166.06
2015-07-01,1168.75
2015-06-30,1172.24
2015-06-29,1179.69
2015-06-26,1175.28
2015-06-25,1172.98
2015-06-24,1175.33
2015-06-23,1178.53
2015-06-22,1185.42
2015-06-19,1200.06
2015-06-18,1201.43
2015-06-17,1185.46
2015-06-16,1181.93
2015-06-15,1186.07
2015-06-12,1181.5
2015-06-11,1181.86
2015-06-10,1185.68
2015-06-09,1176.38
2015-06-08,1173.96
2015-06-05,1171.8
2015-06-04,1176.37
2015-06-03,1184.68
2015-06-02,1192.5
2015-06-01,1189.06
2015-05-29,1190.34
2015-05-28,1187.97
2015-05-27,1187.5
2015-05-26,1186.87
2015-05-25,1207.02
2015-05-22,1205.96
2015-05-21,1205.82
2015-05-20,1209.67
2015-05-19,1207.28
2015-05-18,1224.85
2015-05-15,1223.86
2015-05-14,1220.59
2015-05-13,1215.5
2015-05-12,1193.36
2015-05-11,1183.86
2015-05-08,1188.04
2015-05-07,1184.39
2015-05-06,1192.13
2015-05-05,1193.05
2015-05-04,1188.11
2015-05-01,1178.19
2015-04-30,1183.84
2015-04-29,1204.33
2015-04-28,1211.97
2015-04-27,1201.76
2015-04-24,1179.19
2015-04-23,1193.8
2015-04-22,1187.08
2015-04-21,1202.02
2015-04-20,1195.04
2015-04-17,1204.14
2015-04-16,1197.93
2015-04-15,1202.23
2015-04-14,1191.93
2015-04-13,1198.39
2015-04-10,1207.47
2015-04-09,1194.76
2015-04-08,1202.43
2015-04-07,1209.06
2015-04-06,1214.64
2015-04-03,1200.75
2015-04-02,1202.42
2015-04-01,1203.85
2015-03-31,1183.3
2015-03-30,1185.85
2015-03-27,1198.56
2015-03-26,1204.62
2015-03-25,1195.4
2015-03-24,1193.06
2015-03-23,1189.27
2015-03-20,1182.42
2015-03-19,1171.04
2015-03-18,1167.37
2015-03-17,1149.1
2015-03-16,1154.68
2015-03-13,1158.29
2015-03-12,1153.58
2015-03-11,1155.21
2015-03-10,1161.69
2015-03-09,1167.01
2015-03-06,1167.16
2015-03-05,1198.24
2015-03-04,1200.22
2015-03-03,1203.57
2015-03-02,1206.72
2015-02-27,1213.16
2015-02-26,1209.32
2015-02-25,1204.87
2015-02-24,1200.36
2015-02-23,1201.66
2015-02-20,1201.77
2015-02-19,1206.59
2015-02-18,1212.27
2015-02-17,1209.6
2015-02-16,1230
2015-02-13,1229.66
2015-02-12,1221.64
2015-02-11,1218.94
2015-02-10,1233.58
2015-02-09,1238.91
2015-02-06,1233.78
2015-02-05,1264.55
2015-02-04,1269.14
2015-02-03,1260.25
2015-02-02,1274.04
2015-01-30,1283.2
2015-01-29,1256.7
2015-01-28,1283.56
2015-01-27,1292.04
2015-01-26,1281.16
2015-01-23,1294.11
2015-01-22,1301.73
2015-01-21,1293.02
2015-01-20,1294.65
2015-01-19,1276.36
2015-01-16,1280.26
2015-01-15,1262.04
2015-01-14,1228.55
2015-01-13,1230.58
2015-01-12,1233.14
2015-01-09,1223.14
2015-01-08,1208.7
2015-01-07,1211.14
2015-01-06,1218.46
2015-01-05,1204.2
2015-01-02,1188.47
2016-12-30,1150.9
2016-12-29,1157.67
2016-12-28,1141.03
2016-12-27,1138.49
2016-12-26,1132.72
2016-12-23,1133.57
2016-12-22,1128.01
2016-12-21,1131.19
2016-12-20,1131.86
2016-12-19,1137.56
2016-12-16,1134.26
2016-12-15,1128
2016-12-14,1142.55
2016-12-13,1158.09
2016-12-12,1161.73
2016-12-09,1159.47
2016-12-08,1170.37
2016-12-07,1173.32
2016-12-06,1169.47
2016-12-05,1169.9
2016-12-02,1177.09
2016-12-01,1171.21
2016-11-30,1172.89
2016-11-29,1187.83
2016-11-28,1193.5
2016-11-25,1183.36
2016-11-24,1183.65
2016-11-23,1187.89
2016-11-22,1211.87
2016-11-21,1213.82
2016-11-18,1207.53
2016-11-17,1215.95
2016-11-16,1224.77
2016-11-15,1228.27
2016-11-14,1220.83
2016-11-11,1226.78
2016-11-10,1258.56
2016-11-09,1277.63
2016-11-08,1275.19
2016-11-07,1281.21
2016-11-03,1304.21
2016-11-02,1302.16
2016-11-01,1296.52
2016-10-31,1287.62
2016-10-30,1276.71
2016-10-28,1275.06
2016-10-27,1267.99
2016-10-26,1266.64
2016-10-25,1273.35
2016-10-24,1263.95
2016-10-21,1265.85
2016-10-20,1265.24
2016-10-19,1268.84
2016-10-18,1261.98
2016-10-17,1255.32
2016-10-14,1250.91
2016-10-13,1257.71
2016-10-12,1254.84
2016-10-11,1252.27
2016-10-10,1259.2
2016-10-07,1256.22
2016-10-06,1253.88
2016-10-05,1266.32
2016-10-04,1268.05
2016-10-03,1311.3
2016-09-30,1315.93
2016-09-29,1320.21
2016-09-28,1321.35
2016-09-27,1327.26
2016-09-26,1337.91
2016-09-23,1337.41
2016-09-22,1336.97
2016-09-21,1334.87
2016-09-20,1314.75
2016-09-19,1313.13
2016-09-16,1310.28
2016-09-15,1314.69
2016-09-14,1322.85
2016-09-13,1319
2016-09-12,1327.52
2016-09-09,1328.04
2016-09-08,1338.34
2016-09-07,1345.11
2016-09-06,1349.79
2016-09-05,1326.85
2016-09-02,1324.83
2016-09-01,1313.7
2016-08-31,1308.84
2016-08-30,1311.07
2016-08-29,1323.32
2016-08-26,1321.24
2016-08-25,1321.87
2016-08-24,1324.07
2016-08-23,1337.47
